<!DOCTYPE html>
<html>
<body>

Persona	Level 	Strength	Magic	Endurance 	Agility 	Luck	Phys	Gun	Fire	Ice 	Elec	Wind	Psy	Nuke	Bless	Curse	Arcana	Shadow	Extra Note
Stone of Scone	20	20	20	20	20	20	Rs	Rs	Wk	-	-	-	-	-	-	-	Fortune	Stone of Scone	Treasure Demon
Succubus	7	4	7	5	8	4	-	-	Rs	-	-	Wk	-	-	Wk	Nu	Moon	Twilight Prostitute	
Sudama	17	9	14	12	13	10	-	-	-	Wk	-	Rp	-	Wk	-	-	Hermit	Noisy Mountain Spirit	
Sui-Ki	24	16	15	15	18	15	-	Rs	-	Dr	Rs	-	-	Wk	-	-	Moon	Floodbringer Demon	
Surt	83	55	54	51	50	46	-	Rs	Dr	Wk	Nu	-	-	Rs	-	-	Magician	Blazing Giant	
Susano-o	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	Wk	Nu	-	-	-	-	-	-	Emperor	-	Yusuke's Second Tier Persona
Suzaku	16	9	12	10	15	9	-	-	Dr	Wk	-	-	-	Rs	-	-	Sun	-	
Take-Minakata	26	17	19	18	16	15	-	-	-	-	Rs	-	Wk	-	-	Rs	Hanged Man	Defeated Avenger	
Tam Lin	27	21	16	18	16	17	Rs	-	Nu	-	-	Rs	-	-	Dr	Wk	Faith	-	
Thanatos	65	43	49	41	38	31	Rs	-	-	-	-	-	-	-	Wk	Rp	Death	-	Paid DLC
Thanatos Picaro	69	45	51	43	40	35	Rs	-	-	-	-	-	-	-	Wk	Rp	Death	-	Paid DLC
Thor	64	44	39	43	38	35	Rs	-	-	-	Nu	-	-	-	Rs	Rs	Chariot	Thunder Emperor	
Thoth	36	21	28	21	24	21	-	-	-	-	-	-	Wk	Nu	Nu	Rs	Emperor	Chanting Baboon	
Throne	72	42	49	43	46	43	-	-	Nu	-	-	Nu	-	Wk	Rp	-	Justice	Fire Assassin	
Thunderbird	34	17	24	24	26	18	-	-	-	-	Dr	-	Wk	-	-	Wk	Sun	Storm-Invoking Ptarmigan	
Titania	56	32	40	35	38	30	-	-	-	-	-	-	Wk	Rs	Rs	Rs	Empress	Scandalous Queen	
Trumpeter	59	33	42	40	38	31	-	-	-	Dr	Rp	-	-	-	Rp	Nu	Judgement	-	
Tsukiyomi	50	38	32	33	37	17	Rs	-	-	-	-	-	-	Wk	Rs	Rp	Moon	-	Paid DLC
Tsukiyomi Picaro	55	41	35	36	40	20	Rs	-	-	-	-	-	-	Wk	Rs	Rp	Moon	-	Paid DLC
Unicorn	39	20	27	25	28	24	-	-	-	Nu	-	-	Rs	-	Nu	Wk	Faith	Expressionless Beast	
Uriel	81	50	54	49	55	42	-	-	Nu	-	-	-	-	Dr	Rp	-	Justice	Herald of Death	
Valkyrie	44	33	24	28	29	25	-	Rs	Wk	Rp	-	-	-	-	Nu	-	Strength	Funerary Warrior	
Vanadis	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	-	-	Nu	Wk	Faith	-	Sumire's Second Tier Persona
Vasuki	68	42	45	44	42	38	-	-	-	Nu	Nu	-	-	-	-	Wk	Star	-	
Vishnu	83	56	51	49	57	43	-	-	Wk	Dr	-	-	-	-	Nu	Nu	Fool	-	Strongest Persona of the Fool Arcana
Vohu Manah	80	46	59	45	56	41	-	-	-	-	Rs	Wk	-	-	Dr	Nu	Councillor	-	Strongest Persona of the Councillor Arcana
White Rider	39	22	21	26	27	25	-	-	Nu	Wk	-	-	-	-	Nu	Rp	Chariot	-	
William	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	Rs	-	Nu	Wk	-	-	-	-	Chariot	-	Ryuji's Third Tier Persona
Yaksini	20	14	11	13	16	13	-	Nu	-	Rs	-	-	-	Wk	-	-	Empress	Human-eating Lady	
Yamata-no-Orochi	64	44	38	48	36	33	Rs	-	-	Dr	-	Rs	-	-	-	Rs	Judgement	Drunken Serpents	
Yatagarasu	57	35	41	30	40	32	-	-	-	-	-	Rs	-	-	Nu	Wk	Councillor	-	
Yoshitsune	87	63	52	50	54	49	Nu	-	Rs	-	Rp	-	-	-	Rp	-	Tower	Begrudging Warrior Arisen	
Yurlungur	43	26	29	30	27	24	-	-	-	-	Nu	-	Wk	-	Rs	-	Sun	-	
Zaou-Gongen	80	57	45	50	56	39	-	-	Rp	-	Wk	-	-	-	Nu	Nu	Strength	Angry Warrior	Strongest Persona of the Strength Arcana
Zorro	1	2	3	1	3	1	-	-	-	-	Wk	Rs	-	-	-	-	Magician	-	Morgana's Initial Persona
Zouchouten	31	22	19	24	18	17	Rs	-	-	-	-	Wk	-	-	-	-	Strength	-	
</body>
</html>
